100 4
1 1 1.9406153267789383
1 2 2.4960023032126255
1 3 5.097590532057141
1 4 -6.710103929559703
2 1 -0.7032768896409772
2 2 3.550737302115971
2 3 -3.8537012339198635
2 4 2.641834256365264
3 1 2.307041551607623
3 2 -3.835162477048304
3 3 -0.18248778179360817
3 4 1.3357184646206346
4 1 -1.9830498050685734
4 2 -2.544727864232985
4 3 4.173442945577323
4 4 0.6215428074109066
1 5 0.23455998353058166
2 6 0.1331370845921118
3 7 0.1294596239891386
4 8 0.2127749010626604
5 5 -2.170473668565219
5 6 1.4130857682552032
5 7 -1.3699255986078986
5 8 3.111059217044372
6 5 2.916254041825998
6 6 3.420669645458852
6 7 -0.5291342573038527
6 8 -4.270006671345028
7 5 3.6291376197934517
7 6 -3.9499463861316464
7 7 -0.5386210743328289
7 8 3.4925608036399383
8 5 -5.981834465121085
8 6 2.0491168187894564
8 7 4.48488652291071
8 8 -2.7680585612363307
5 9 0.2877974439018753
6 10 0.269409328563914
7 11 0.08978919536291127
8 12 0.08375295033731335
5 4 0.1514903843896614
6 4 0.16812061082928395
7 4 0.20488968201933577
8 4 0.19460972709370808
9 9 3.4472957857308075
9 10 -1.2615081858652726
9 11 -0.4854244227209845
9 12 0.5850575893328606
10 9 -0.3155122353376468
10 10 4.112706778964183
10 11 2.9613221540691055
10 12 -4.082660397678651
11 9 -0.4325972178435511
11 10 -0.511159518637192
11 11 -5.485516404404907
11 12 4.828066835085285
12 9 -4.26003320250904
12 10 -2.4746804932460766
12 11 5.548767727377415
12 12 0.7649026411154211
9 13 0.047831325022183735
10 14 0.28806274054680525
11 15 0.16520978511484272
12 16 0.014449277291069972
9 8 0.16806230107237943
10 8 0.2546516769396697
11 8 0.022248736106365494
12 8 0.11707823575261005
13 13 -4.142188027170013
13 14 1.9821128858325923
13 15 3.2231557977817347
13 16 -0.5948187195777962
14 13 3.8935183239129922
14 14 2.2241316809863765
14 15 -2.210843709970067
14 16 -2.6154071864560566
15 13 2.226744897699483
15 14 -2.5103959324696365
15 15 3.158019495573932
15 16 -4.296180916537957
16 13 -0.7144315620878726
16 14 0.46809971102277115
16 15 -3.205211601759721
16 16 7.186298318877052
13 17 0.2699291834424792
14 18 0.19135169283393097
15 19 0.08775742787323239
16 20 0.08188468975958604
13 12 0.06239282317083386
14 12 0.05434727152344029
15 12 0.1948806515547071
16 12 0.12257175790227393
17 17 -2.8433506493123892
17 18 4.825481616288539
17 19 -4.995209923603344
17 20 1.6896206127093445
18 17 1.0319279549167601
18 18 -1.1175452359196605
18 19 -0.3033357942306298
18 20 4.676177295249374
19 17 -1.465458530776096
19 18 -0.42929630830889953
19 19 4.77012750656659
19 20 1.792033737546698
20 17 3.6022369755157477
20 18 -1.8489156836434917
20 19 1.9617526671314394
20 20 -5.831832951128829
17 21 0.0558027665284989
18 22 0.005989634637687202
19 23 0.0440488936752511
20 24 0.010251176867721012
17 16 0.285538870610509
18 16 0.2674261425593879
19 16 0.005656147853111071
20 16 0.0114572403979876
21 21 2.4266187443408054
21 22 3.076108360760976
21 23 -5.068890679812535
21 24 0.9359754906681494
22 21 2.382628795316871
22 22 -3.25913100596601
22 23 -1.0341570152367436
22 24 3.7354566658726083
23 21 -0.639765907835366
23 22 1.4086208090758618
23 23 4.591593141208904
23 24 -6.59533224226401
24 21 -3.08787850282274
24 22 -0.293623582163036
24 23 2.303118024577544
24 24 3.295025766543559
21 25 0.045137402370674214
22 26 0.06697313916718024
23 27 0.07035958562459342
24 28 0.01777180254969928
21 20 0.04798498940469278
22 20 0.2216634398768993
23 20 0.008365881838885958
24 20 0.2859417294889551
25 25 -2.51976268878196
25 26 1.817595901115279
25 27 4.7008731087943465
25 28 -4.237785770043002
26 25 3.191404568769895
26 26 1.7448216122512061
26 27 -5.102955107491529
26 28 3.8004754126883777
27 25 -4.371607046799424
27 26 1.6395127899224613
27 27 1.8016712035445859
27 28 2.7581044164249913
28 25 2.5649536334282623
28 26 -4.648341389199141
28 27 1.2303464182750263
28 28 -0.47428742800959
25 29 0.18603573532756632
26 30 0.18972504608220553
27 31 0.22682970457250332
28 32 0.23951856077368577
25 24 0.07039691008306599
26 24 0.2661716702246432
27 24 0.2671977580429719
28 24 0.29426244299985743
29 29 -4.106490192961849
29 30 2.982906334843651
29 31 1.3315569562839806
29 32 2.4311739032894137
30 29 1.628578109635296
30 30 0.8960357076535194
30 31 -2.4248511091290856
30 32 2.3705923233950914
31 29 2.1559920098036573
31 30 -6.885650282350336
31 31 0.446312369466706
31 32 3.1368063453730253
32 29 1.3719723102990757
32 30 3.140264165787459
32 31 1.8048655118613253
32 32 -6.363981725248256
29 33 0.2139784276586087
30 34 0.11858759866256363
31 35 8.362338672674996e-5
32 36 0.012113137356679016
29 28 0.1950464168136892
30 28 0.26773506043950646
31 28 0.22491829177486025
32 28 0.14345120818528742
33 33 -3.7623621482138434
33 34 1.4365099920108848
33 35 -1.8737092058140628
33 36 3.7133664057028377
34 33 -2.183760843102066
34 34 3.7089637760940093
34 35 1.3465876725366772
34 36 -2.7090363987508446
35 33 -3.0023717760282125
35 34 -0.6119767658289168
35 35 6.364344643224927
35 36 -2.37691756591229
36 33 6.159771450107239
36 34 -2.6067759990343924
36 35 -1.7476002754552866
36 36 1.2117135511312038
33 37 0.2520262839675679
34 38 0.25701048118088315
35 39 0.2837972570696673
36 40 0.05405310746759738
33 32 0.2689919528464474
34 32 0.006891527459822266
35 32 0.15207282529818908
36 32 0.034470181115726785
37 37 4.793230423813821
37 38 -2.325197900247629
37 39 0.3430931769249198
37 40 -1.3552239249232148
38 37 -2.4449504818096943
38 38 1.7438267450515286
38 39 -2.6030729138437874
38 40 7.947371740769269
39 37 -2.247290077945309
39 38 -1.4797191015254931
39 39 2.379390982952959
39 40 0.652566273624812
40 37 -1.7030980411479493
40 38 4.25149598449915
40 39 0.941091204757514
40 40 -4.638964545393917
37 41 0.06992741733576838
